name;id;nametype;recclass;mass (g);fall;year;reclat;reclong;GeoLocation
Dhofar 416;7194;Valid;L/LL3;281;Found;01.01.2001;18.764270;54.233250;(18.764270, 54.233250)
Dar al Gani 513;6061;Valid;H4;281;Found;01.01.1997;27.055500;16.136000;(27.055500, 16.136000)
Dar al Gani 128;5678;Valid;H5;281;Found;01.01.1996;27.152330;16.267170;(27.152330, 16.267170)
Dar al Gani 027;5543;Valid;CO3;281;Found;01.01.1995;27.127830;15.971170;(27.127830, 15.971170)
Acfer 059;68;Valid;CR2;281;Found;01.01.1989;27.516670;4.066670;(27.516670, 4.066670)
Lonewolf Nunataks 94101;14685;Valid;CM2;2804.6;Found;01.01.1994;-81.333330;152.833330;(-81.333330, 152.833330)
Jiddat al Harasis 408;48559;Valid;L5;280.97199999999998;Found;01.01.2007;19.734720;56.455580;(19.734720, 56.455580)
Allan Hills 06006;44863;Valid;H~5;280.89999999999998;Found;01.01.2006;-76.705580;158.775870;(-76.705580, 158.775870)
Allan Hills A79033;1907;Valid;L6;280.8;Found;01.01.1979;-76.699170;159.357780;(-76.699170, 159.357780)
Asuka 882097;4806;Valid;L4;280.77;Found;01.01.1988;-72.000000;26.000000;(-72.000000, 26.000000)
Allan Hills A78075;1690;Valid;H5;280.60000000000002;Found;01.01.1978;-76.716670;159.666670;(-76.716670, 159.666670)
Asuka 882035;4744;Valid;L6;280.55;Found;01.01.1988;-72.000000;26.000000;(-72.000000, 26.000000)
Pecora Escarpment 91036;18327;Valid;L5;280.39999999999998;Found;01.01.1991;-85.686660;-68.712510;(-85.686660, -68.712510)
Elephant Moraine 90178;8587;Valid;H5;280.39999999999998;Found;01.01.1990;-76.267090;156.497260;(-76.267090, 156.497260)
Elephant Moraine 96041;9635;Valid;H6;280.10000000000002;Found;01.01.1996;-76.183330;157.166670;(-76.183330, 157.166670)
Asuka 881619;4328;Valid;H4;280.02;Found;01.01.1988;-72.000000;26.000000;(-72.000000, 26.000000)
Dehesa;6638;Valid;Iron, ungrouped;280;Found;01.01.1866;-33.500000;-70.500000;(-33.500000, -70.500000)
Tupelo;56551;Valid;EL6;280;Found;01.01.2012;34.242160;-88.775940;(34.242160, -88.775940)
Dar al Gani 1052;53617;Valid;LL5;280;Found;01.01.2008;27.328330;16.218670;(27.328330, 16.218670)
Thiel Mountains 06004;46408;Valid;L5;280;Found;01.01.2007;-85.162000;-94.547500;(-85.162000, -94.547500)
Dhofar 550;7311;Valid;L6;280;Found;01.01.2001;18.841350;54.563400;(18.841350, 54.563400)
Dhofar 704;7460;Valid;L4;280;Found;01.01.2001;18.891670;54.586670;(18.891670, 54.586670)
Dar al Gani 332;5880;Valid;CO3;280;Found;01.01.1997;27.104670;16.008670;(27.104670, 16.008670)
Hammadah al Hamra 200;11683;Valid;H5-6;280;Found;01.01.1997;28.588830;13.106500;(28.588830, 13.106500)
Plains (d);18840;Valid;H4;280;Found;01.01.1991;33.266670;-102.900000;(33.266670, -102.900000)
Acfer 126;135;Valid;LL5-6;280;Found;01.01.1990;27.516670;3.800000;(27.516670, 3.800000)
Camel Donga 002;5205;Valid;L6;280;Found;01.01.1989;-30.083330;126.616670;(-30.083330, 126.616670)
Daraj 109;6568;Valid;LL4-6;280;Found;01.01.1986;29.481110;12.140560;(29.481110, 12.140560)
Asuka 87152;2509;Valid;H4;28.99;Found;01.01.1987;-72.000000;26.000000;(-72.000000, 26.000000)
